"Year week","Pizza","Price offer","Christmas","New year","17th of May - National day","Easter","Kr. Himmelfart (Ascension day)","Pinse (pentecost)","Summer vacation","Temperature","Precipitation","Sun","Campaign 1","Campaign 2","Campaign 3","Campaign 4","Campaign 5","Campaign 6","Campaign 7","Campaign 8","Campaign 9","Campaign 10","Campaign 11","Campaign 12","Campaign 13","Campaign 14","Campaign 15","Campaign 16","Campaign17","Campaign 18","Competitor 1","Competitor 2","Competitor 3","Competitor 4","Competitor 5","Competitor 6","Competitor 7"
"37",255.681382854473,18.0536495982813,0,0,0,0,0,0,0,9.3902100582847,34.3818629848004,12.3934127965291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.6,0
"38",145.025928521374,2.86452618933233,0,0,0,0,0,0,0,7.88133351066836,31.2567693500586,14.1469008353966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.8,0
"39",109.243634664798,0.0391942725107697,0,0,0,0,0,0,0,8.98790691723653,35.808514769548,14.5916237083343,0,0,0,0,0,67,25.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,0
"40",111.301097874328,0.0691882470350432,0,0,0,0,0,0,0,8.19864316398615,10.5509453482776,14.5206330344089,0,0,0,0,0,120.4,79.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.9,0
"41",122.230320018687,0.198205957590375,0,0,0,0,0,0,0,5.2267467516964,21.5149349507669,7.12466798978005,0,0,0,0,0,95.9,85.8,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8,0,0,28.2,0
"42",117.062368605466,0.216871495135975,0,0,0,0,0,0,0,6.2491005255676,17.7662373445208,7.62821149849743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.2,0,0,34.2,0
"43",146.57509927587,6.36103802162533,0,0,0,0,0,0,0,6.07119855740529,24.5492146728789,5.86638430498876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232.4,0,0,41.2,0
"44",111.722494744219,3.36187032986439,0,0,0,0,0,0,0,4.3972698714984,34.2692126087507,8.77142755065836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.8,159.6,0,0,39,0
"45",117.69960289652,0.411246358948084,0,0,0,0,0,0,0,1.57626277146225,35.6645418714609,7.05271984747824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,31.8,0
"46",151.291754263023,3.79292153949444,0,0,0,0,0,0,0,-0.515647840393834,14.2731389409659,6.67042447995497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.2,0
"47",120.137351086195,0.479775184521134,0,0,0,0,0,0,0,0.412676595599492,28.4692877314223,7.81230534533708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.2,0,0,22.1,0
"48",116.126138752628,0.0167238582653757,0,0,0,0,0,0,0,0.214764509071777,48.5352512396828,5.2360794863863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.6,0,0,36.8,0
"49",116.964260686755,0.0584263212979824,0,0,0,0,0,0,0,0.869154990050678,26.8571417696964,4.37538930932585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,22.5,0
"50",158.239663629993,2.19620361391821,0,0,0,0,0,0,0,-3.53869515048224,5.02877457978199,8.56308396398877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.9,0,0,52.2,0
"51",136.823172156038,0.563152230385285,0,0,0,0,0,0,0,-4.44309065505264,8.58699058182468,6.44003051061802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.5,111.6,0,0,41.1,0
